Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Raised,Notes,Group,Group description
="Agamon",="https://finder.startupnationcentral.org/company_page/agamon",="Patient Management Platform",="Health Tech & Life Sciences",="2019",="11-50",="Seed",="$8.47M",="",="",="",
="BioT",="https://finder.startupnationcentral.org/company_page/biot",="Effortless Compliance for Health Tech AI Applications",="Health Tech & Life Sciences",="2020",="11-50",="Seed",="$8.76M",="",="",="",
="Briya",="https://finder.startupnationcentral.org/company_page/bria-interoperability",="Unlocking EHR Real-World Data to Enable Collaborative Research and Healthcare Innovation",="Health Tech & Life Sciences",="2020",="51-200",="A",="$17M",="",="",="",
="CardiaCare",="https://finder.startupnationcentral.org/company_page/cardiacare",="Wearable Therapy for Atrial Fibrillation",="Health Tech & Life Sciences",="2015",="1-10",="Seed",="$4.33M",="",="",="",
="Conflu3nce",="https://finder.startupnationcentral.org/company_page/conflu3nce",="Personalized Solution for Detecting Cognitive Health Changes",="Health Tech & Life Sciences",="2016",="1-10",="Pre-Seed",="$330K",="",="",="",
="Hedonia",="https://finder.startupnationcentral.org/company_page/hedonia",="Relieving Anxiety and Depression Symptoms",="Health Tech & Life Sciences",="2021",="11-50",="A",="$5M",="",="",="",
="iFeel Labs",="https://finder.startupnationcentral.org/company_page/ifeel-labs",="Game Platform for Breathing Optimization",="Health Tech & Life Sciences",="2014",="1-10",="Mature",="Undisclosed",="",="",="",
="Iluria",="https://finder.startupnationcentral.org/company_page/iluria-ltd1",="Biomarker-based ADHD Monitoring",="Health Tech & Life Sciences",="2018",="11-50",="Seed",="$2.04M",="",="",="",
="MakeSense",="https://finder.startupnationcentral.org/company_page/makesense",="AI-based Technology for Measuring Nutritional Values of Meals",="Health Tech & Life Sciences",="2018",="1-10",="Pre-Seed",="Undisclosed",="",="",="",
="medcase",="https://finder.startupnationcentral.org/company_page/medcase",="Global Network for On-demand Access to Medical Expertise",="Health Tech & Life Sciences",="2017",="51-200",="A",="$4.1M",="",="",="",
="Nym",="https://finder.startupnationcentral.org/company_page/nym",="Natural Language Understanding for Automated Healthcare Coding",="Health Tech & Life Sciences",="2017",="201-500",="B",="$94.5M",="",="",="",
="OCON Therapeutics",="https://finder.startupnationcentral.org/company_page/ocon-therapeutics",="Spherical Intrauterine Drug Delivery Platform",="Health Tech & Life Sciences",="2011",="11-50",="A",="$24.5M",="",="",="",
="OurRitual",="https://finder.startupnationcentral.org/company_page/ourritual",="Skill-building App for Relationships",="Health Tech & Life Sciences",="2021",="51-200",="Seed",="$7.2M",="",="",="",
="Pery",="https://finder.startupnationcentral.org/company_page/pery",="Seamlessly integrating AI-driven behavioral health services into primary care clinics.",="Health Tech & Life Sciences",="2021",="11-50",="Seed",="$5.7M",="",="",="",
="Rhino Federated Computing",="https://finder.startupnationcentral.org/company_page/rhino-federated-computing",="Seamlessly connect siloed data through Federated Computing",="Health Tech & Life Sciences",="2020",="11-50",="A",="$32.61M",="",="",="",
="Sequel.Care ",="https://finder.startupnationcentral.org/company_page/sequel-care",="Mental Healthcare",="Health Tech & Life Sciences",="2020",="11-50",="Pre-Seed",="$2.85M",="",="",="",
="Sweetch",="https://finder.startupnationcentral.org/company_page/sweetch",="AI-Powered Hyper-Personalized Patient Engagement Platform",="Health Tech & Life Sciences",="2013",="51-200",="A",="$44.8M",="",="",="",
="toko",="https://finder.startupnationcentral.org/company_page/toko","AI-guided Peer2Peer therapy, delivered without therapists. ",="Health Tech & Life Sciences",="2024",="51-200",="Pre-Seed",="Undisclosed",="",="",="",
="WMH",="https://finder.startupnationcentral.org/company_page/wmh",="Remote Monitoring Solution for Seniors",="Health Tech & Life Sciences",="2022",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="YuviTal",="https://finder.startupnationcentral.org/company_page/rumble1",="Digital Health and Fitness Solutions for Organizations ",="Health Tech & Life Sciences",="2017",="11-50",="Pre-Funding",="Undisclosed",="",="",="",
="BioRaptor",="https://finder.startupnationcentral.org/company_page/bioraptor",="AI-powered Insight Platform",="Business Software",="2021",="11-50",="Seed",="$3M",="",="",="",
="Canopy",="https://finder.startupnationcentral.org/company_page/expain",="Intelligent Care Platform for Oncology ",="Health Tech & Life Sciences",="2018",="11-50",="A",="$13M",="",="",="",
="CoPilotMD",="https://finder.startupnationcentral.org/company_page/copilotmd",="Stealth Mode Startup",="Health Tech & Life Sciences",="2023",="1-10",="Seed",="Undisclosed",="",="",="",
="InnoCan Pharma",="https://finder.startupnationcentral.org/company_page/innocan-pharma",="Cannabinoid-integrated Pharmaceutical Products",="Health Tech & Life Sciences",="2017",="11-50",="Public",="$23.67M",="",="",="",
="Livez",="https://finder.startupnationcentral.org/company_page/p4-health",="Mobile App for Personalized Preventive Medicine",="Health Tech & Life Sciences",="2020",="11-50",="Seed",="Undisclosed",="",="",="",
="NanoScout",="https://finder.startupnationcentral.org/company_page/nanoscout",="Nano-morphology Detection at Scale",="Health Tech & Life Sciences",="2020",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="PathKeeper Surgical",="https://finder.startupnationcentral.org/company_page/deep-health",="Real-time Surgical Accuracy with 3D Optical Navigation",="Health Tech & Life Sciences",="2018",="11-50",="Seed",="$5.9M",="",="",="",
="Vgarden",="https://finder.startupnationcentral.org/company_page/vgarden",="Plant-Based Food Development and Manufacturing",="Agriculture & Food Technologies",="2017",="11-50",="Seed",="$15M",="",="",="",
="2bPrecise",="https://finder.startupnationcentral.org/company_page/2bprecise",="Precision Medicine Solution",="Health Tech & Life Sciences",="2015",="11-50",="Acquired",="Undisclosed",="",="",="",
="3R Pharma",="https://finder.startupnationcentral.org/company_page/3r-pharma",="Ophthalmic Cannabis Solutions",="Health Tech & Life Sciences",="2020",="1-10",="Seed",="$800K",="",="",="",
="4Cast",="https://finder.startupnationcentral.org/company_page/4cast",="Decision Intelligence Powered by AI ",="Business Software",="2018",="51-200",="Acquired",="Undisclosed",="",="",="",
="4Girls",="https://finder.startupnationcentral.org/company_page/4girls",="Platform for Detecting Mental Distress",="Health Tech & Life Sciences",="2000",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="6Degrees",="https://finder.startupnationcentral.org/company_page/6degrees","Motion-intelligent wearable empowering physical therapy. Boosting outcomes, adherence, and clinic r",="Health Tech & Life Sciences",="2017",="1-10",="Pre-Seed",="$2.43M",="",="",="",
="A.T Efal Technologies",="https://finder.startupnationcentral.org/company_page/a-t-efal-technologies",="Climate Cleansing for Healthier Indoor Air and Energy Efficiency",="Industrial Technologies",="2017",="1-10",="Pre-Funding",="Undisclosed",="",="",="",
="Access For Life",="https://finder.startupnationcentral.org/company_page/access-for-life",="Subcutaneous Implanted Device for Vascular Access",="Health Tech & Life Sciences",="2013",="1-10",="Seed",="Undisclosed",="",="",="",
